"ID","Title","Case ID","Run ID","Status"
"T26844209","Test if Online Help Menu Keyboard Shortcuts link goes corresponding online help page","C1078278","R47995","Untested"
"T26844025","Test if Troubleshooting Information support website link goes corresponding online help page","C1060150","R47995","Untested"
"T26844210","Test if Options Menu General Tab Help Icon link goes corresponding online help page","C1078295","R47995","Untested"
"T26844211","Test if Options Menu Search Tab Help Icon link goes corresponding online help page","C1078297","R47995","Untested"
"T26844212","Test if Options Menu Content Tab Help Icon link goes corresponding online help page","C1078299","R47995","Untested"
"T26844218","Test if Options Menu Content Tab DRM Content Learn More link goes corresponding online help page","C1078429","R47995","Untested"
"T26844219","Test if Options Menu Content Tab Fonts&Colors Advanced Help link goes corresponding online help page","C1078430","R47995","Untested"
"T26844220","Test if Options Menu Content Tab Fonts&Colors Colors Help link goes corresponding online help page","C1078436","R47995","Untested"
"T26844221","Test if Options Menu Content Tab Languages Choose Help link goes corresponding online help page","C1078437","R47995","Untested"
"T26844213","Test if Options Menu Applications Tab Help Icon link goes corresponding online help page","C1078300","R47995","Untested"
"T26844214","Test if Options Menu Privacy Tab Help Icon link goes corresponding online help page","C1078301","R47995","Untested"
"T26844222","Test if Options Menu Privacy Tab Tracking Learn More link goes corresponding online help page","C1078445","R47995","Untested"
"T26844215","Test if Options Menu Security Tab Help Icon link goes corresponding online help page","C1078302","R47995","Untested"
"T26844216","Test if Options Menu Sync Tab Help Icon link goes corresponding online help page","C1078303","R47995","Untested"
"T26844225","Test if Options Menu Sync Tab older version link goes corresponding online help page","C1079031","R47995","Untested"
"T26844217","Test if Options Menu Advanced Tab Help Icon link goes corresponding online help page","C1078304","R47995","Untested"
"T26844223","Test if Options Menu Advanced Tab Network Tab Settings Help link goes corresponding online help page","C1078446","R47995","Untested"
"T26844047","Test if about:home IceDragon link goes corresponding online help page","C1060172","R47995","Untested"
"T26844016","Test if about:home latest versions link goes corresponding online help page","C1060141","R47995","Untested"
"T26844003","Test if the uninstaller can be launched from control panel of the PC","C1060128","R47995","Untested"
"T26844007","Test if program data is deleted from appdata folder during uninstallation","C1060132","R47995","Untested"
"T26844008","Test if program data is deleted from local appdata folder during uninstallation","C1060133","R47995","Untested"
"T26844009","Test if installation folder is deleted from program files folder during uninstallation","C1060134","R47995","Untested"
"T26844010","Test if registry key is deleted from registry folder during uninstallation","C1060135","R47995","Untested"
"T26844011","Test if the IceDragon entry is removed from Control Panel successfully","C1060136","R47995","Untested"
"T26844012","Test if browser shortcuts are removed from the Start menu successfully","C1060137","R47995","Untested"
"T26844013","Test if browser shortcuts are removed from the desktop successfully","C1060138","R47995","Untested"
"T26844014","Test if the user data is not deleted after uninstall if the user decides to keep it","C1060139","R47995","Untested"
"T26844015","Test if version number of the browser is displayed at uninstallation","C1060140","R47995","Untested"
"T26844443","Test the ""Minimize"" button","C1795937","R47995","Untested"
"T26844448","Test the ""Maximize"" button","C1795942","R47995","Untested"
"T26844444","Test the ""X"" button","C1795938","R47995","Untested"
"T26844450","Test the ""Go back one page "" button","C1795944","R47995","Untested"
"T26844451","Test the ""Website information"" button","C1795945","R47995","Untested"
"T26844445","Test the ""Bookmark"" button","C1795939","R47995","Untested"
"T26844446","Test the ""Show your bookmarks"" button","C1795940","R47995","Untested"
"T26844447","Test the ""Downloads' button","C1795941","R47995","Untested"
"T26844449","Test the ""Home"" button","C1795943","R47995","Untested"
"T26844442","Test the ""Settings"" button","C1795936","R47995","Untested"
"T26844458","Test the IceDragon updates feature in Advanced settings","C1812792","R47995","Untested"
"T26844496","Test the ""New Tab"" button","C2713667","R47995","Untested"
